period,subba,subba-name,parent,parent-name,value,value-units
2024-01-01T22,DUQ,Duquesne Lighting Company zone,PJM,"PJM Interconnection, LLC",1577,megawatthours
2024-01-01T22,DPL,Delmarva Power & Light zone,PJM,"PJM Interconnection, LLC",2258,megawatthours
2024-01-01T22,DOM,Dominion Virginia Power zone,PJM,"PJM Interconnection, LLC",15059,megawatthours
2024-01-01T22,DEOK,Duke Energy Ohio/Kentucky zone,PJM,"PJM Interconnection, LLC",3007,megawatthours
2024-01-01T22,DAY,Dayton Power & Light zone,PJM,"PJM Interconnection, LLC",1980,megawatthours
2024-01-01T22,CE,Commonwealth Edison zone,PJM,"PJM Interconnection, LLC",10093,megawatthours
2024-01-01T22,BC,Baltimore Gas & Electric zone,PJM,"PJM Interconnection, LLC",3848,megawatthours
2024-01-01T22,ATSI,"American Transmission Systems, Inc. zone",PJM,"PJM Interconnection, LLC",7468,megawatthours
2024-01-01T22,AP,Allegheny Power zone,PJM,"PJM Interconnection, LLC",6366,megawatthours
2024-01-01T22,AEP,American Electric Power zone,PJM,"PJM Interconnection, LLC",15263,megawatthours
2024-01-01T22,AE,Atlantic Electric zone,PJM,"PJM Interconnection, LLC",1197,megawatthours
2024-01-01T22,ZONK,Long Island,NYIS,New York Independent System Operator,2299,megawatthours
2024-01-01T22,ZONJ,New York City,NYIS,New York Independent System Operator,5315,megawatthours
2024-01-01T22,ZONI,Dunwoodie,NYIS,New York Independent System Operator,620,megawatthours
2024-01-01T22,ZONH,Millwood,NYIS,New York Independent System Operator,344,megawatthours
2024-01-01T22,ZONG,Hudson Valley,NYIS,New York Independent System Operator,1173,megawatthours
2024-01-01T22,ZONF,Capital,NYIS,New York Independent System Operator,1456,megawatthours
2024-01-01T22,ZONE,Mohawk Valley,NYIS,New York Independent System Operator,982,megawatthours
2024-01-01T22,ZOND,North,NYIS,New York Independent System Operator,751,megawatthours
2024-01-01T22,ZONC,Central,NYIS,New York Independent System Operator,2008,megawatthours
2024-01-01T22,ZONB,Genesee,NYIS,New York Independent System Operator,1232,megawatthours
2024-01-01T22,ZONA,West,NYIS,New York Independent System Operator,1856,megawatthours
2024-01-01T22,8910,"Zones 8, 9, and 10",MISO,"Midcontinent Independent System Operator, Inc.",17444,megawatthours
2024-01-01T22,35,Zones 3 and 5,MISO,"Midcontinent Independent System Operator, Inc.",10093,megawatthours
2024-01-01T22,27,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16500,megawatthours
2024-01-01T22,6,Zone 6,MISO,"Midcontinent Independent System Operator, Inc.",9636,megawatthours
2024-01-01T22,4,Zone 4,MISO,"Midcontinent Independent System Operator, Inc.",4952,megawatthours
2024-01-01T22,1,Zone 1,MISO,"Midcontinent Independent System Operator, Inc.",11015,megawatthours
2024-01-01T22,SOUT,South,ERCO,"Electric Reliability Council of Texas, Inc.",3353,megawatthours
2024-01-01T22,SCEN,South Central,ERCO,"Electric Reliability Council of Texas, Inc.",6688,megawatthours
2024-01-01T22,NCEN,North Central,ERCO,"Electric Reliability Council of Texas, Inc.",12201,megawatthours
2024-01-01T22,NRTH,North,ERCO,"Electric Reliability Council of Texas, Inc.",1398,megawatthours
2024-01-01T22,FWES,Far West,ERCO,"Electric Reliability Council of Texas, Inc.",6273,megawatthours
2024-01-01T22,WEST,West,ERCO,"Electric Reliability Council of Texas, Inc.",1298,megawatthours
2024-01-01T22,EAST,East,ERCO,"Electric Reliability Council of Texas, Inc.",1809,megawatthours
2024-01-01T22,COAS,Coast,ERCO,"Electric Reliability Council of Texas, Inc.",10986,megawatthours
2024-01-01T22,VEA,Valley Electric Association,CISO,California Independent System Operator,107,megawatthours
2024-01-01T22,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,1378,megawatthours
2024-01-01T22,SCE,Southern California Edison,CISO,California Independent System Operator,9476,megawatthours
2024-01-01T21,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,8883,megawatthours
2024-01-01T21,WR,Westar Energy,SWPP,Southwest Power Pool,3373,megawatthours
2024-01-01T21,WFEC,Western Farmers Electric Cooperative,SWPP,Southwest Power Pool,1108,megawatthours
2024-01-01T21,WAUE,Western Area Power Upper Great Plains East,SWPP,Southwest Power Pool,4206,megawatthours
2024-01-01T21,SPS,Southwestern Public Service Company,SWPP,Southwest Power Pool,3417,megawatthours
2024-01-01T21,SPRM,City of Springfield,SWPP,Southwest Power Pool,357,megawatthours
2024-01-01T21,SECI,Sunflower Electric,SWPP,Southwest Power Pool,613,megawatthours
2024-01-01T21,OPPD,Omaha Public Power District,SWPP,Southwest Power Pool,1491,megawatthours
2024-01-01T21,OKGE,Oklahoma Gas and Electric Co.,SWPP,Southwest Power Pool,3682,megawatthours
2024-01-01T21,NPPD,Nebraska Public Power District,SWPP,Southwest Power Pool,1798,megawatthours
2024-01-01T21,MPS,KCP&L Greater Missouri Operations,SWPP,Southwest Power Pool,940,megawatthours
2024-01-01T21,LES,Lincoln Electric System,SWPP,Southwest Power Pool,373,megawatthours
2024-01-01T21,KCPL,Kansas City Power & Light,SWPP,Southwest Power Pool,1739,megawatthours
2024-01-01T21,KACY,Kansas City Board of Public Utilities,SWPP,Southwest Power Pool,244,megawatthours
2024-01-01T21,INDN,Independence Power & Light,SWPP,Southwest Power Pool,103,megawatthours
2024-01-01T21,GRDA,Grand River Dam Authority,SWPP,Southwest Power Pool,781,megawatthours
2024-01-01T21,EDE,Empire District Electric Company,SWPP,Southwest Power Pool,621,megawatthours
2024-01-01T21,CSWS,AEPW American Electric Power West,SWPP,Southwest Power Pool,4925,megawatthours
2024-01-01T21,CYGA,City of Gallup,PNM,Public Service Company of New Mexico,20,megawatthours
2024-01-01T21,TSGT,Tri-State Generation and Transmission,PNM,Public Service Company of New Mexico,282,megawatthours
2024-01-01T21,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,986,megawatthours
2024-01-01T21,NTUA,Navajo Tribal Utility Authority,PNM,Public Service Company of New Mexico,33,megawatthours
2024-01-01T21,LAC,Los Alamos County,PNM,Public Service Company of New Mexico,74,megawatthours
2024-01-01T21,KCEC,Kit Carson Electric Cooperative,PNM,Public Service Company of New Mexico,37,megawatthours
2024-01-01T21,KAFB,Kirtland Air Force Base,PNM,Public Service Company of New Mexico,44,megawatthours
2024-01-01T21,Jica,Jicarilla Apache Nation,PNM,Public Service Company of New Mexico,2,megawatthours
2024-01-01T21,Frep,Freeport,PNM,Public Service Company of New Mexico,79,megawatthours
2024-01-01T21,RECO,Rockland Electric (East) zone,PJM,"PJM Interconnection, LLC",151,megawatthours
2024-01-01T21,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",4562,megawatthours
2024-01-01T21,PN,Pennsylvania Electric zone,PJM,"PJM Interconnection, LLC",2026,megawatthours
2024-01-01T21,PL,Pennsylvania Power & Light zone,PJM,"PJM Interconnection, LLC",4816,megawatthours
2024-01-01T21,PEP,Potomac Electric Power zone,PJM,"PJM Interconnection, LLC",3531,megawatthours
2024-01-01T21,PE,PECO Energy zone,PJM,"PJM Interconnection, LLC",4356,megawatthours
2024-01-01T21,ME,Metropolitan Edison zone,PJM,"PJM Interconnection, LLC",1723,megawatthours
2024-01-01T21,JC,Jersey Central Power & Light zone,PJM,"PJM Interconnection, LLC",2404,megawatthours
2024-01-01T21,EKPC,East Kentucky Power Cooperative zone,PJM,"PJM Interconnection, LLC",2097,megawatthours
2024-01-01T21,DUQ,Duquesne Lighting Company zone,PJM,"PJM Interconnection, LLC",1551,megawatthours
2024-01-01T21,DPL,Delmarva Power & Light zone,PJM,"PJM Interconnection, LLC",2134,megawatthours
2024-01-01T21,DOM,Dominion Virginia Power zone,PJM,"PJM Interconnection, LLC",14532,megawatthours
2024-01-01T21,DEOK,Duke Energy Ohio/Kentucky zone,PJM,"PJM Interconnection, LLC",2955,megawatthours
2024-01-01T21,DAY,Dayton Power & Light zone,PJM,"PJM Interconnection, LLC",1951,megawatthours
2024-01-01T21,CE,Commonwealth Edison zone,PJM,"PJM Interconnection, LLC",9950,megawatthours
2024-01-01T21,BC,Baltimore Gas & Electric zone,PJM,"PJM Interconnection, LLC",3708,megawatthours
2024-01-01T21,ATSI,"American Transmission Systems, Inc. zone",PJM,"PJM Interconnection, LLC",7384,megawatthours
2024-01-01T21,AP,Allegheny Power zone,PJM,"PJM Interconnection, LLC",6225,megawatthours
2024-01-01T21,AEP,American Electric Power zone,PJM,"PJM Interconnection, LLC",14935,megawatthours
2024-01-01T21,AE,Atlantic Electric zone,PJM,"PJM Interconnection, LLC",1132,megawatthours
2024-01-01T21,ZONK,Long Island,NYIS,New York Independent System Operator,2088,megawatthours
2024-01-01T21,ZONJ,New York City,NYIS,New York Independent System Operator,5163,megawatthours
2024-01-01T21,ZONI,Dunwoodie,NYIS,New York Independent System Operator,579,megawatthours
2024-01-01T21,ZONH,Millwood,NYIS,New York Independent System Operator,324,megawatthours
2024-01-01T21,ZONG,Hudson Valley,NYIS,New York Independent System Operator,1079,megawatthours
2024-01-01T21,ZONF,Capital,NYIS,New York Independent System Operator,1324,megawatthours
2024-01-01T21,ZONE,Mohawk Valley,NYIS,New York Independent System Operator,899,megawatthours
2024-01-01T21,ZOND,North,NYIS,New York Independent System Operator,738,megawatthours
2024-01-01T21,ZONC,Central,NYIS,New York Independent System Operator,1936,megawatthours
2024-01-01T21,ZONB,Genesee,NYIS,New York Independent System Operator,1187,megawatthours
2024-01-01T21,ZONA,West,NYIS,New York Independent System Operator,1792,megawatthours
2024-01-01T21,8910,"Zones 8, 9, and 10",MISO,"Midcontinent Independent System Operator, Inc.",17380,megawatthours
2024-01-01T21,35,Zones 3 and 5,MISO,"Midcontinent Independent System Operator, Inc.",10068,megawatthours
2024-01-01T21,27,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16267,megawatthours
2024-01-01T21,6,Zone 6,MISO,"Midcontinent Independent System Operator, Inc.",9510,megawatthours
2024-01-01T21,4,Zone 4,MISO,"Midcontinent Independent System Operator, Inc.",4890,megawatthours
2024-01-01T21,1,Zone 1,MISO,"Midcontinent Independent System Operator, Inc.",10908,megawatthours
2024-01-01T21,SOUT,South,ERCO,"Electric Reliability Council of Texas, Inc.",3263,megawatthours
2024-01-01T21,SCEN,South Central,ERCO,"Electric Reliability Council of Texas, Inc.",6693,megawatthours
2024-01-01T21,NCEN,North Central,ERCO,"Electric Reliability Council of Texas, Inc.",12338,megawatthours
2024-01-01T21,NRTH,North,ERCO,"Electric Reliability Council of Texas, Inc.",1424,megawatthours
2024-01-01T21,FWES,Far West,ERCO,"Electric Reliability Council of Texas, Inc.",6414,megawatthours
2024-01-01T21,WEST,West,ERCO,"Electric Reliability Council of Texas, Inc.",1316,megawatthours
2024-01-01T21,EAST,East,ERCO,"Electric Reliability Council of Texas, Inc.",1824,megawatthours
2024-01-01T21,COAS,Coast,ERCO,"Electric Reliability Council of Texas, Inc.",10869,megawatthours
2024-01-01T21,VEA,Valley Electric Association,CISO,California Independent System Operator,121,megawatthours
2024-01-01T21,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,1470,megawatthours
2024-01-01T21,SCE,Southern California Edison,CISO,California Independent System Operator,9717,megawatthours
2024-01-01T20,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,9237,megawatthours
2024-01-01T20,WR,Westar Energy,SWPP,Southwest Power Pool,3412,megawatthours
2024-01-01T20,WFEC,Western Farmers Electric Cooperative,SWPP,Southwest Power Pool,1161,megawatthours
2024-01-01T20,WAUE,Western Area Power Upper Great Plains East,SWPP,Southwest Power Pool,4250,megawatthours
2024-01-01T20,SPS,Southwestern Public Service Company,SWPP,Southwest Power Pool,3470,megawatthours
2024-01-01T20,SPRM,City of Springfield,SWPP,Southwest Power Pool,372,megawatthours
2024-01-01T20,SECI,Sunflower Electric,SWPP,Southwest Power Pool,620,megawatthours
2024-01-01T20,OPPD,Omaha Public Power District,SWPP,Southwest Power Pool,1514,megawatthours
2024-01-01T20,OKGE,Oklahoma Gas and Electric Co.,SWPP,Southwest Power Pool,3772,megawatthours
2024-01-01T20,NPPD,Nebraska Public Power District,SWPP,Southwest Power Pool,1834,megawatthours
2024-01-01T20,MPS,KCP&L Greater Missouri Operations,SWPP,Southwest Power Pool,947,megawatthours
2024-01-01T20,LES,Lincoln Electric System,SWPP,Southwest Power Pool,381,megawatthours
2024-01-01T20,KCPL,Kansas City Power & Light,SWPP,Southwest Power Pool,1769,megawatthours
2024-01-01T20,KACY,Kansas City Board of Public Utilities,SWPP,Southwest Power Pool,246,megawatthours
2024-01-01T20,INDN,Independence Power & Light,SWPP,Southwest Power Pool,104,megawatthours
2024-01-01T20,GRDA,Grand River Dam Authority,SWPP,Southwest Power Pool,785,megawatthours
2024-01-01T20,EDE,Empire District Electric Company,SWPP,Southwest Power Pool,665,megawatthours
2024-01-01T20,CSWS,AEPW American Electric Power West,SWPP,Southwest Power Pool,5081,megawatthours
2024-01-01T20,CYGA,City of Gallup,PNM,Public Service Company of New Mexico,22,megawatthours
2024-01-01T20,TSGT,Tri-State Generation and Transmission,PNM,Public Service Company of New Mexico,287,megawatthours
2024-01-01T20,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,975,megawatthours
2024-01-01T20,NTUA,Navajo Tribal Utility Authority,PNM,Public Service Company of New Mexico,34,megawatthours
2024-01-01T20,LAC,Los Alamos County,PNM,Public Service Company of New Mexico,73,megawatthours
2024-01-01T20,KCEC,Kit Carson Electric Cooperative,PNM,Public Service Company of New Mexico,34,megawatthours
2024-01-01T20,KAFB,Kirtland Air Force Base,PNM,Public Service Company of New Mexico,44,megawatthours
2024-01-01T20,Jica,Jicarilla Apache Nation,PNM,Public Service Company of New Mexico,3,megawatthours
2024-01-01T20,Frep,Freeport,PNM,Public Service Company of New Mexico,77,megawatthours
2024-01-01T20,RECO,Rockland Electric (East) zone,PJM,"PJM Interconnection, LLC",146,megawatthours
2024-01-01T20,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",4412,megawatthours
2024-01-01T20,PN,Pennsylvania Electric zone,PJM,"PJM Interconnection, LLC",2029,megawatthours
2024-01-01T20,PL,Pennsylvania Power & Light zone,PJM,"PJM Interconnection, LLC",4766,megawatthours
2024-01-01T20,PEP,Potomac Electric Power zone,PJM,"PJM Interconnection, LLC",3481,megawatthours
2024-01-01T20,PE,PECO Energy zone,PJM,"PJM Interconnection, LLC",4322,megawatthours
2024-01-01T20,ME,Metropolitan Edison zone,PJM,"PJM Interconnection, LLC",1703,megawatthours
2024-01-01T20,JC,Jersey Central Power & Light zone,PJM,"PJM Interconnection, LLC",2349,megawatthours
2024-01-01T20,EKPC,East Kentucky Power Cooperative zone,PJM,"PJM Interconnection, LLC",2129,megawatthours
2024-01-01T20,DUQ,Duquesne Lighting Company zone,PJM,"PJM Interconnection, LLC",1541,megawatthours
2024-01-01T20,DPL,Delmarva Power & Light zone,PJM,"PJM Interconnection, LLC",2078,megawatthours
2024-01-01T20,DOM,Dominion Virginia Power zone,PJM,"PJM Interconnection, LLC",14295,megawatthours
2024-01-01T20,DEOK,Duke Energy Ohio/Kentucky zone,PJM,"PJM Interconnection, LLC",2980,megawatthours
2024-01-01T20,DAY,Dayton Power & Light zone,PJM,"PJM Interconnection, LLC",1946,megawatthours
